date,cases,cartodb_id,province,weekinmonth,monthname,timeframe
2/6/20,2,6,British Columbia,1,February,February-W1
2/6/20,0,10,Manitoba,1,February,February-W1
2/6/20,0,7,New Brunswick,1,February,February-W1
2/6/20,0,5,Newfoundland and Labrador,1,February,February-W1
2/6/20,0,13,Northwest Territories,1,February,February-W1
2/6/20,0,2,Nova Scotia,1,February,February-W1
2/6/20,3,11,Ontario,1,February,February-W1
2/6/20,0,8,Prince Edward Island,1,February,February-W1
2/6/20,0,1,Quebec,1,February,February-W1
2/6/20,0,3,Saskatchewan,1,February,February-W1
2/6/20,0,9,Yukon,1,February,February-W1
2/6/20,0,12,Nunavut,1,February,February-W1
2/7/20,0,4,Alberta,1,February,February-W1
2/7/20,4,6,British Columbia,1,February,February-W1
2/7/20,0,10,Manitoba,1,February,February-W1
2/7/20,0,7,New Brunswick,1,February,February-W1
2/7/20,0,5,Newfoundland and Labrador,1,February,February-W1
2/7/20,0,13,Northwest Territories,1,February,February-W1
2/7/20,0,2,Nova Scotia,1,February,February-W1
2/7/20,3,11,Ontario,1,February,February-W1
2/7/20,0,8,Prince Edward Island,1,February,February-W1
2/7/20,0,1,Quebec,1,February,February-W1
2/7/20,0,3,Saskatchewan,1,February,February-W1
2/7/20,0,9,Yukon,1,February,February-W1
2/7/20,0,12,Nunavut,1,February,February-W1
2/8/20,0,4,Alberta,2,February,February-W2
2/8/20,4,6,British Columbia,2,February,February-W2
2/8/20,0,10,Manitoba,2,February,February-W2
2/8/20,0,7,New Brunswick,2,February,February-W2
2/8/20,0,5,Newfoundland and Labrador,2,February,February-W2
2/8/20,0,13,Northwest Territories,2,February,February-W2
2/8/20,0,2,Nova Scotia,2,February,February-W2
2/8/20,3,11,Ontario,2,February,February-W2
2/8/20,0,8,Prince Edward Island,2,February,February-W2
2/8/20,0,1,Quebec,2,February,February-W2
2/8/20,0,3,Saskatchewan,2,February,February-W2
2/8/20,0,9,Yukon,2,February,February-W2
2/8/20,0,12,Nunavut,2,February,February-W2
2/9/20,0,4,Alberta,2,February,February-W2
2/9/20,4,6,British Columbia,2,February,February-W2
2/9/20,0,10,Manitoba,2,February,February-W2
2/9/20,0,7,New Brunswick,2,February,February-W2
2/9/20,0,5,Newfoundland and Labrador,2,February,February-W2
2/9/20,0,13,Northwest Territories,2,February,February-W2
2/9/20,0,2,Nova Scotia,2,February,February-W2
2/9/20,3,11,Ontario,2,February,February-W2
2/9/20,0,8,Prince Edward Island,2,February,February-W2
2/9/20,0,1,Quebec,2,February,February-W2
2/9/20,0,3,Saskatchewan,2,February,February-W2
2/9/20,0,9,Yukon,2,February,February-W2
2/9/20,0,12,Nunavut,2,February,February-W2
2/10/20,0,4,Alberta,2,February,February-W2
2/10/20,4,6,British Columbia,2,February,February-W2
2/10/20,0,10,Manitoba,2,February,February-W2
2/10/20,0,7,New Brunswick,2,February,February-W2
2/10/20,0,5,Newfoundland and Labrador,2,February,February-W2
2/10/20,0,13,Northwest Territories,2,February,February-W2
2/10/20,0,2,Nova Scotia,2,February,February-W2
2/10/20,3,11,Ontario,2,February,February-W2
2/10/20,0,8,Prince Edward Island,2,February,February-W2
2/10/20,0,1,Quebec,2,February,February-W2
2/10/20,0,3,Saskatchewan,2,February,February-W2
2/10/20,0,9,Yukon,2,February,February-W2
2/10/20,0,12,Nunavut,2,February,February-W2
2/11/20,0,4,Alberta,2,February,February-W2
2/11/20,4,6,British Columbia,2,February,February-W2
2/11/20,0,10,Manitoba,2,February,February-W2
2/11/20,0,7,New Brunswick,2,February,February-W2
2/11/20,0,5,Newfoundland and Labrador,2,February,February-W2
2/11/20,0,13,Northwest Territories,2,February,February-W2
2/11/20,0,2,Nova Scotia,2,February,February-W2
2/11/20,3,11,Ontario,2,February,February-W2
2/11/20,0,8,Prince Edward Island,2,February,February-W2
2/11/20,0,1,Quebec,2,February,February-W2
2/11/20,0,3,Saskatchewan,2,February,February-W2
2/11/20,0,9,Yukon,2,February,February-W2
2/11/20,0,12,Nunavut,2,February,February-W2
2/12/20,0,4,Alberta,2,February,February-W2
2/12/20,4,6,British Columbia,2,February,February-W2
2/12/20,0,10,Manitoba,2,February,February-W2
